route_id,nurse_id,origin,destination,nodes_in_path,length_km,travel_min
1,nurse_1,431381800,8281962243,38,2.011,2.92
2,nurse_1,431381800,623765199,111,7.112,9.35
3,nurse_1,431381800,10960589062,62,3.966,4.86
4,nurse_1,431381800,10960589062,62,3.966,4.86
5,nurse_1,431381800,1704197846,115,6.926,8.7
6,nurse_2,416164965,416161904,85,7.769,8.74
7,nurse_2,416164965,8661061426,12,0.973,1.37
8,nurse_2,416164965,416161998,61,6.536,7.17
9,nurse_2,416164965,8064072199,52,3.657,4.2
10,nurse_2,416164965,416178466,77,14.71,13.96
